,Word,Document Frequency
0,say,7
1,also,7
2,make,5
3,could,5
4,know,5
5,use,5
6,still,4
7,like,4
8,even,4
9,many,4
10,show,4
11,need,4
12,new,4
13,find,4
14,go,4
15,two,3
16,year,3
17,might,3
18,’,3
19,learn,3
20,first,3
21,”,3
22,tell,3
23,lead,3
24,data,3
25,people,3
26,include,3
27,“,3
28,researchers,3
29,one,3
30,leave,3
31,report,3
32,around,2
33,impact,2
34,damage,2
35,prof,2
36,turn,2
37,freshwater,2
38,rivers,2
39,millions,2
40,yet,2
41,supply,2
42,appear,2
43,machinelearning,2
44,increase,2
45,identify,2
46,often,2
47,easy,2
48,special,2
49,race,2
50,limit,2
51,another,2
52,generate,2
53,require,2
54,far,2
55,scientists,2
56,bbc,2
57,team,2
58,cost,2
59,world,2
60,sport,2
61,move,2
62,highlight,2
63,much,2
64,name,2
65,water,2
66,black,2
67,outside,2
68,transform,2
69,develop,2
70,right,2
71,behave,2
72,run,2
73,come,2
74,machine,2
75,visual,2
76,power,2
77,type,2
78,suggest,2
79,give,2
80,mean,2
81,human,2
82,representations,2
83,mit,2
84,carbon,2
85,children,2
86,way,2
87,school,2
88,better,2
89,speed,2
90,pretty,2
91,crisis,2
92,major,2
93,service,2
94,light,2
95,model,2
96,research,2
97,former,2
98,see,2
99,significant,2
100,cars,2
101,restrictions,2
102,hundreds,2
103,science,2
104,rapidly,2
105,help,2
106,certain,2
107,vision,2
108,lakes,2
109,image,2
110,result,2
111,last,1
112,standards,1
113,responsibility,1
114,become,1
115,position,1
116,rule,1
117,ethics,1
118,matter,1
119,fia,1
120,season,1
121,director,1
122,fight,1
123,away,1
124,inside,1
125,michael,1
126,return,1
127,part,1
128,try,1
129,take,1
130,tactics,1
131,penalties,1
132,aggressive,1
133,change,1
134,likely,1
135,mistake,1
136,series,1
137,gain,1
138,advantage,1
139,manoeuvre,1
140,personally,1
141,especially,1
142,lay,1
143,manner,1
144,lessons,1
145,issue,1
146,guidelines,1
147,intervene,1
148,formula,1
149,body,1
150,govern,1
151,beyond,1
152,drive,1
153,throughout,1
154,overtake,1
155,postdoc,1
156,max,1
157,surf,1
158,wing,1
159,ft,1
160,push,1
161,rid,1
162,wave,1
163,foilboard,1
164,long,1
165,electricpowered,1
166,user,1
167,almost,1
168,professional,1
169,underwater,1
170,surfers,1
171,rider,1
172,technology,1
173,stand,1
174,million,1
175,flat,1
176,reduction,1
177,severe,1
178,safer,1
179,hawaiian,1
180,coast,1
181,island,1
182,propellers,1
183,kiana,1
184,air,1
185,build,1
186,sea,1
187,downwards,1
188,underside,1
189,foilboards,1
190,surfer,1
191,seas,1
192,ways,1
193,must,1
